en,fr,it,de,es,ko,kana
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
But... How ?,"Oh, mais comment ?",NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
NewText,NewText,NewText,NewText,NewText,NewText,NewText
,En fait j'ai jamais réussi à arrêter quelqu'un...,,,,,
,"Hé, tu me gâches mon moment détente là...",,,,,
,Tss...,,,,,
,Tsss...,,,,,
,Tss...,,,,,
,Maiiiis ils sont tout nuls en fait!,,,,,
,"Ahf, j'avais pas assez d'énergie!",,,,,
,"Meh, en vérité je préfère le thé.",,,,,
,...,,,,,
,C'est injuste!,,,,,
,,,,,,
,"Bravo, tu passes cette épreuve !",,,,,
,Bien joué!,,,,,
,Mon plan est tombé à l'eau...,,,,,
,Ça c'est ce que je voulais voir! Bravo!,,,,,
,"Bravo, ce fut un combat honorable!",,,,,
,Naaaan!!!!,,,,,
,L'esclavage sans fin...,,,,,
,,,,,,
,"Pfiou, ça m'a secoué!",,,,,
,...,,,,,
,,,,,,
,,,,,,
,On a perdu ?,,,,,
,Ça ne s'arrêtera pas là !,,,,,
,...,,,,,
,Ok j'avoue je suis pas un policier mais un voleur!! Pardon!!,,,,,
,Je dois prendre la fuite pour éviter le déshonneur !,,,,,
,"Hmmm, ça m'a donné matière à réflechir...",,,,,
,Je comprends.,,,,,
,Ah. Fais chier.,,,,,
,,,,,,
,... ?????!,,,,,
,...?!,,,,,
,...??????!,,,,,
,"Vous n'êtes qu'un criminel, une nuisance à la société!",,,,,
,Bon sang.,,,,,
,... Hmf.,,,,,
,Woaw. C'était inattendu.,,,,,
,...,,,,,
,Tu peux poursuivre.,,,,,
,Ton épreuve continue...,,,,,
,A toi de vaincre la matriache maintenant.,,,,,
,"Waaw, bravo jeune dresseur, je ferais mieux de me rendormir moi !",,,,,
,"-Bravo, vous pouvez apprécier la végétation !",,,,,
,"-Prenez gare, la végétation est remplie d'âmes en perditions...",,,,,
,"Rooh ça va, on va rentrer...",,,,,
,"Mais regarde, ils essayent de  se débattre.",,,,,
,Au moins je vois de beaux paysages.,,,,,
,"Rhôôôô, tu m'as
fait disjoncter.",,,,,
,Bien.,,,,,
,"M'en fout, le feu c'est mieux que l'électricité.",,,,,
,Ah oui du coup j'ai pas pu exp...,,,,,
,Ah sarperlipopette!,,,,,
,,,,,,
,Gaaah!! nous sommes vaincus!,,,,,
,Vite il faut partir faire un rapport!,,,,,
,"T'as pas géré, je m'en occupe.",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Tu est un excellent dresseur.,,,,,
