en,fr,it,de,es,ko,kana
Nidoran♀,stopbug1,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,ニドラン♀
Epsion,Epison,Epison,Epison,Epison,니드리나,ニドリーナ
Teledar,Teledar,Teledar,Teledar,Teledar,니드퀸,ニドクイン
Nidoran♂,stopbug2,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,ニドラン♂
Tentaj,Tentaj,Tentaj,Tentaj,Tentaj,니드리노,ニドリーノ
Chtuage,Cthuage,Chtuage,Chtuage,Chtuage,니드킹,ニドキング
Framboala,Framboala,Framboala,Piepi,Framboala,삐삐,ピッピ
Macaroala,Macaroala,Macaroala,Pixi,Macaroala,픽시,ピクシー
Dissibier,Dissibier,Carroflame,Carroflame,Carroflame,식스테일,ロコン
Cremapin,Cremapin,Cremapin,Vulnona,Cremapin,나인테일,キュウコン
Limamillon,Limamillon,Limamillon,Pummeluff,Limamillon,푸린,プリン
Kapupillon,Kapupillon,Kapupillon,Knuddeluff,Kapupillon,푸크린,プクリン
Guétapant,Guétapant,Zubat,Zubat,Zubat,주뱃,ズバット
evo Guétapant ?,Embusbag,Embusbag,Embusbag,Embusbag,골뱃,ゴルバット
Qualtox,Qualtox,Qualtox,Myrapla,Qualtox,뚜벅쵸,ナゾノクサ
Balcox,Baltox,Baltox,Duflor,Baltox,냄새꼬,クサイハナ
Robarôme,Robarôme,Robarome,Giflor,Robarome,라플레시아,ラフレシア
Vilea,Vilea,Vilea,Vilea,Vilea,파라스,パラス
Vilearcane,Vilearcane,Vilearcane,Vileaek,Vilearcane,파라섹트,パラセクト
Mimitoss,stropbug3,Venonat,Bluzuk,Venonat,콘팡,コンパン
Aéromite,stopbug4,Venomoth,Omot,Venomoth,도나리,モルフォン
Gorgorm,Gorgorm,Gorgorm,Digda,Gorgorm,디그다,ディグダ
Demolien,Demolien,Demolien,Digdri,Demolien,닥트리오,ダグトリオ
Hiboubou,Hiboubou,Hibours,Mauzi,Hibours,나옹,ニャース
Plumours,Plumours,Plumours,Snobilikat,Plumours,페르시온,ペルシアン
Bagicien,Bagicien,Bagicien,Enton,Bagicien,고라파덕,コダック
Yggdracien,Yggdracien,Yggdracien,Entoron,Yggdracien,골덕,ゴルダック
Sourissono,Sourissono,Sourissono,Menki,Sourissono,망키,マンキー
Quokeridoo,Quokeridoo,Quokeridoo,Rasaff,Quokeridoo,성원숭,オコリザル
Pandoux,Pandoux,Pandoux,Fukano,Pandoux,가디,ガーディ
Dragougoux,Dragougoux,Dragougoux,Arkani,Dragougoux,윈디,ウインディ
Plancto,Plancto,Plancto,Quapsel,Plancto,발챙이,ニョロモ
Errancton,Errancton,Errancton,Quaputzi,Errancton,슈륙챙이,ニョロゾ
Rodeur-san,Rodeur-san,Rodeursan,Quappo,Rodeursan,강챙이,ニョロボン
Peyon,Peion,Peion,Peion,Peion,캐이시,ケーシィ
Foodelik,Foodelik,Foodelik,Foodelik,Foodelik,윤겔라,ユンゲラー
Rejacid,Rejacid,Rejacid,Simsala,Rejacid,후딘,フーディン
Carcapik,Carcapik,Carcapik,Machollo,Carcapik,알통몬,ワンリキー
Poisscarnaj,Poisscarnaj,Poisscarnaj,Maschock,Poisscarnaj,근육몬,ゴーリキー
Gigachrys,Gigachrys,Gigachrys,Machomei,Gigachrys,괴력몬,カイリキー
Frainy,Frainy,Frainy,Knofensa,Frainy,모다피,マダツボミ
Fraisyste,Fraisyste,Fraisyste,Ultrigaria,Fraisyste,우츠동,ウツドン
Robarôme,Victreebel,Victreebel,Sarzenia,Victreebel,우츠보트,ウツボット
Yamete,Yamete,Yamete,Tentacha,Yamete,왕눈해,メノクラゲ
Rainatal,Cyanéore,Rainatal,Tentoxa,Rainatal,독파리,ドククラゲ
Rannaz,Rannaz,Rannaz,Kleinstein,Rannaz,꼬마돌,イシツブテ
Gennaz,Gennaz,Gennaz,Georok,Gennaz,데구리,ゴローン
Runhark,Runhark,Runhark,Geowaz,Runhark,딱구리,ゴローニャ
Détoceps,Detoceps,Detoceps,Ponita,Detoceps,포니타,ポニータ
Annihilaceps,Annihilaceps,Annihilaceps,Gallopa,Annihilaceps,날쌩마,ギャロップ
Alvouille,Alvouille,Alvouille,Flegmon,Alvouille,야돈,ヤドン
Taurouille,Taurouille,Taurouille,Lahmus,Taurouille,야도란,ヤドラン
Aimantpeine,Aimantpeine,Aimantpeine,Magnetilo,Aimantpeine,코일,コイル
Jokaimant,Jokaimant,Jokaimant,Jokaimant,Jokaimant,레어코일,レアコイル
Venipik,Venaile,Farfetch’d,Porenta,Farfetch’d,파오리,カモネギ
Emeunimeux,Emeunimeux,Emeunimeu,Dodu,Emeunimeu,두두,ドードー
Dodrio EMPTY,Dodrio,Dodrio,Dodri,Dodrio,두트리오,ドードリオ
Valanguy,Valanguy,Valanguy,Jurob,Valanguy,쥬쥬,パウワウ
Arcanuy,Arcanguy,Arcanguy,Jugong,Arcanguy,쥬레곤,ジュゴン
Echancarbon ,Echancarbon ,Echancarbon,Sleima,Echancarbon,질퍽이,ベトベター
Fioloxik,Fioloxik,Fioloxik,Sleimok,Fioloxik,질뻐기,ベトベトン
Vervu,Vervu,Vervu,Muschas,Vervu,셀러,シェルダー
Verosion,Verosion,Verosion,Austos,Verosion,파르셀,パルシェン
Posette,Posette,Posette,Nebulak,Posette,고오스,ゴース
Trabduction,Trabduction,Trabduction,Alpollo,Trabduction,고우스트,ゴースト
Suffog,Suffog,Suffog,Suffog,Suffog,팬텀,ゲンガー
Sabluscade,Sabluscade,Sabluscade,Sabluscade,Sabluscade,롱스톤,イワーク
Tentassaut,Tentassaut,Tentassaut,Traumato,Tentassaut,슬리프,スリープ
Hypnomade,Hypnomade,Hypno,Hypno,Hypno,슬리퍼,スリーパー
Crabouée,Crabouee,Crabouee,Crabouee,Crabouee,크랩,クラブ
Crabato,Crabato,Crabato,Crabato,Crabato,킹크랩,キングラー
Slitik,Slitik,Slitik,Voltobal,Slitik,찌리리공,ビリリダマ
Blocharj,Blocharj,Blocharj,Lektrobal,Blocharj,붐볼,マルマイン
Bourgea,Bourgea,Bourgea,Owei,Bourgea,아라리,タマタマ
Dention,Dention,Dention,Kokowei,Dention,나시,ナッシー
Caracamor,Caracamor,Caracamor,Tragosso,Caracamor,탕구리,カラカラ
maybe evo?,maybe evo?,Marowak,Knogga,Marowak,텅구리,ガラガラ
Trépasseur,Trépasseur,Trepasseur,Kicklee,Trepasseur,시라소몬,サワムラー
Maquarter,Maquarter,Maquarter,Nockchan,Maquarter,홍수몬,エビワラー
Conqueriz,Conquerizz,Conqueriz,Schlurp,Conqueriz,내루미,ベロリンガ
Bouri,Bouriz,Bouri,Smogon,Bouri,또가스,ドガース
Raboutriz,Raboutriz,Raboutriz,Smogmog,Raboutriz,또도가스,マタドガス
Hurlalanche,Hurlalanche,Hurlalanche,Rihorn,Hurlalanche,뿔카노,サイホーン
Rhinoféros,sos,Rhydon,Rizeros,Rhydon,코뿌리,サイドン
Leveinard,rhydon,Chansey,Chaneira,Chansey,럭키,ラッキー
Mauvaine,Mauvaine,Mauvaine,Mauvaine,Mauvaine,덩쿠리,モンジャラ
Bapple,Bapple,Bapple,Kangama,Bapple,캥카,ガルーラ
Skeleau,Skeulo,Skeulo,Seeper,Skeulo,쏘드라,タッツー
Requossment,Requossement,Requossement,Seemon,Requossement,시드라,シードラ
Poissirène,Crobol,Goldeen,Goldini,Goldeen,콘치,トサキント
Poissoroy,Poissoroy,Seaking,Golking,Seaking,왕콘치,アズマオウ
Cocortue,Cocortue,Cocortue,Sterndu,Cocortue,별가사리,ヒトデマン
Tortail,Tortail,Tortail,Tortail,Tortail,아쿠스타,スターミー
M. Mime,M. Mime,Mr. Mime,Pantimos,Mr. Mime,마임맨,バリヤード
Nosfoltaj,Nosfoltaj,Nosfoltaj,Sichlor,Nosfoltaj,스라크,ストライク
Hiverdam,Hiverdam,Hiverdam,Rossana,Hiverdam,루주라,ルージュラ
Banix,Garoar,Garoar,Elektek,Garoar,에레브,エレブー
Nudox,Nudox,Nudox,Nudox,Nudox,마그마,ブーバー
Scarabrute,Scarabrute,Pinsir,Pinsir,Pinsir,쁘사이저,カイロス
Tauros,Tauros,Tauros,Tauros,Tauros,켄타로스,ケンタロス
Coraprenti,Coraprenti,Coraprenti,Karpador,Coraprenti,잉어킹,コイキング
Corofessor,Corofessor,Corofessor,Garados,Corofessor,갸라도스,ギャラドス
Lokhlass,Lokhlass,Lapras,Lapras,Lapras,라프라스,ラプラス
Métamorph,Métamorph,Ditto,Ditto,Ditto,메타몽,メタモン
Évoli,Évoli,Eevee,Evoli,Eevee,이브이,イーブイ
Aquali,Aquali,Vaporeon,Aquana,Vaporeon,샤미드,シャワーズ
Voltali,Voltali,Jolteon,Blitza,Jolteon,쥬피썬더,サンダース
Pyroli,Pyroli,Flareon,Flamara,Flareon,부스터,ブースター
Porygon,Porygon,Porygon,Porygon,Porygon,폴리곤,ポリゴン
Amonita,Amonita,Omanyte,Amonitas,Omanyte,암나이트,オムナイト
Amonistar,Amonistar,Omastar,Amoroso,Omastar,암스타,オムスター
Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,투구,カブト
Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,カブトプス
Ptéra,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ
Ronflex,Ronflex,Snorlax,Relaxo,Snorlax,잠만보,カビゴン
Artikodin,Artikodin,Articuno,Arktos,Articuno,프리져,フリーザー
Électhor,Électhor,Zapdos,Zapdos,Zapdos,썬더,サンダー
Sulfura,Sulfura,Moltres,Lavados,Moltres,파이어,ファイヤー
Voichou,Voichou,Voichou,Voichou,Voichou,미뇽,ミニリュウ
Récaille,Récaille,Recaille,Dragonir,Recaille,신뇽,ハクリュー
Wyvaurien,Wyvaurien,Wyvaurien,Dragoran,Wyvaurien,망나뇽,カイリュー
Songeapin,Songeapin,Mewtwo,Songitatu,Mewtwo,뮤츠,ミュウツー
Songita,Songita,Songita,Songita,Songita,뮤,ミュウ
Zanitus,Zanitus,Zanitus,Endivie,Zanitus,치코리타,チコリータ
Solavidé,Solavidé,Solavide,Lorblatt,Solavide,베이리프,ベイリーフ
Lunadae,Lunadae,Lunadae,Meganie,Lunadae,메가니움,メガニウム
Brulotin,Brulotin,Brulotin,Feurigel,Brulotin,브케인,ヒノアラシ
Diablûre,Diablure,Diablure,Igelavar,Diablure,마그케인,マグマラシ
Biyip,Biyip,Biyip,Tornupto,Biyip,블레이범,バクフーン
Kaiminus,Kaiminus,Totodile,Karnimani,Totodile,리아코,ワニノコ
Crocrodil,Crocrodil,Croconaw,Tyracroc,Croconaw,엘리게이,アリゲイツ
Aligatueur,Aligatueur,Feraligatr,Impergator,Feraligatr,장크로다일,オーダイル
Berchiot,Berchiot,Berchiot,Wiesor,Berchiot,꼬리선,オタチ
Berwouf,Berwouf,Berwouf,Wiesenior,Berwouf,다꼬리,オオタチ
pas encore design,pas encore design,Hoothoot,Hoothoot,Hoothoot,부우부,ホーホー
son evo?,son evo?,Noctowl,Noctuh,Noctowl,야부엉,ヨルノズク
Linfé,Linfé,Linfe,Linfe,Linfe,레디바,レディバ
Gnomeuille,Gnomeuille,Gnomeuille,Gnomeuille,Gnomeuille,레디안,レディアン
Mimigal,Mimigal,Spinarak,Webarak,Spinarak,페이검,イトマル
Migalos,Migalos,Ariados,Ariados,Ariados,아리아도스,アリアドス
Nostenfer,Nostenfer,Crobat,Iksbat,Crobat,크로뱃,クロバット
Flâme,Flame,Flame,Lampi,Flame,초라기,チョンチー
Follesprit,Follesprit,Follesprit,Follesprit,Follesprit,랜턴,ランターン
Pichu,Pichu,Pichu,Pichu,Pichu,피츄,ピチュー
Mélo,Mélo,Cleffa,Pii,Cleffa,삐,ピィ
Toudoudou,Toudoudou,Igglybuff,Fluffeluff,Igglybuff,푸푸린,ププリン
Pakap,Pakap,Pakap,Pakap,Pakap,토게피,トゲピー
Kapadépé,Kapadepe,Kapadepe,Kapadepe,Kapadepe,토게틱,トゲチック
natu,Raporeur,natu,natu,natu,네이티,ネイティ
Comglas,Comglas,Comglas,Comglas,Comglas,네이티오,ネイティオ
Manar,Manar,Manar,Voltilamm,Manar,메리프,メリープ
Perçaj,Perçaj,Percaj,Waaty,Percaj,보송송,モココ
Forouvrié,Forouvrié,Forouvrie,Forouvrie,Forouvrie,전룡,デンリュウ
Miltap,Miltap,Bellossom,Blubella,Bellossom,아르코,キレイハナ
Marill,Marill,Marill,Marill,Marill,마릴,マリル
Azumarill,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,マリルリ
Gentlepierre,Gentlepierre,Gentlepierre,Mogelbaum,Gentlepierre,꼬지모,ウソッキー
Tarpaud,Tarpaud,Politoed,Quaxo,Politoed,왕구리,ニョロトノ
Granivol,Granivol,Hoppip,Hoppspross,Hoppip,통통코,ハネッコ
Floravol,Floravol,Skiploom,Hubelupf,Skiploom,두코,ポポッコ
Cotovol,Cotovol,Jumpluff,Papungha,Jumpluff,솜솜코,ワタッコ
Chapodile,Chapodile,Chapodile,Griffel,Chapodile,에이팜,エイパム
Frainy,Frainy,Sunkern,Sonnkern,Sunkern,해너츠,ヒマナッツ
Héliatronc,Héliatronc,Sunflora,Sonnflora,Sunflora,해루미,キマワリ
Octotap,Octotap,Octotap,Octotap,Octotap,왕자리,ヤンヤンマ
Agluant,Agluant,Agluant,Felino,Agluant,우파,ウパー
Slimtrap,Slimtrap,Slimtrap,Morlord,Slimtrap,누오,ヌオー
Mentali,Mentali,Espeon,Psiana,Espeon,에브이,エーフィ
Pyracage,Sealame,Sealame,Nachtara,Sealame,블래키,ブラッキー
Seagong,Seagong,Seagong,Kramurx,Seagong,니로우,ヤミカラス
Roigada,Roigada,Slowking,Laschoking,Slowking,야도킹,ヤドキング
Feuforêve,Feuforêve,Misdreavus,Traunfugil,Misdreavus,무우마,ムウマ
Zarbi,Zarbi,Unown,Icognito,Unown,안농,アンノーン
Qulbutoké,Qulbutoké,Wobbuffet,Woingenau,Wobbuffet,마자용,ソーナンス
Girafarig,Girafarig,Girafarig,Girafarig,Girafarig,키링키,キリンリキ
Pomdepik,Pomdepik,Pineco,Tannza,Pineco,피콘,クヌギダマ
Foretress,Foretress,Forretress,Forstellka,Forretress,쏘콘,フォレトス
Cetallery,Cetallery,Cetallery,Dummisel,Cetallery,노고치,ノコッチ
Scorplane,Scorplane,Gligar,Skorgla,Gligar,글라이거,グライガー
Steelix,Arpancton,Steelix,Stahlos,Steelix,강철톤,ハガネール
Snubbull,Snubbull,Snubbull,Snubbull,Snubbull,블루,ブルー
Granbull,Granbull,Granbull,Granbull,Granbull,그랑블루,グランブル
Qwilfish,Qwilfish,Qwilfish,Baldorfish,Qwilfish,침바루,ハリーセン
Cizayox,Cizayox,Scizor,Scherox,Scizor,핫삼,ハッサム
Caratroc,Caratroc,Shuckle,Pottrott,Shuckle,단단지,ツボツボ
Scarhino,Scarhino,Heracross,Skaraborn,Heracross,헤라크로스,ヘラクロス
Farfuret,Farfuret,Sneasel,Sniebel,Sneasel,포푸니,ニューラ
Polake,Polake,Polake,Polake,Polake,깜지곰,ヒメグマ
Fouinours,Fouinours,Fouinours,Fouinours,Fouinours,링곰,リングマ
Limagma,Limagma,Slugma,Schneckmag,Slugma,마그마그,マグマッグ
Volcaropod,Volcaropod,Magcargo,Magcargo,Magcargo,마그카르고,マグカルゴ
Stalglama,Stalglama,Stalglama,Quiekel,Stalglama,꾸꾸리,ウリムー
Megamagla,Megamagla,Megamagla,Keifel,Megamagla,메꾸리,イノムー
Corayon,Corayon,Corsola,Corasonn,Corsola,코산호,サニーゴ
Jouflou,Jouflo,Jouflo,Jouflo,Jouflo,총어,テッポウオ
Givrerable,Givrerable,Givrerable,Givrerable,Givrerable,대포무노,オクタン
Cadoizo,Cadoizo,Delibird,Botogel,Delibird,딜리버드,デリバード
Démanta,Démanta,Mantine,Mantax,Mantine,만타인,マンタイン
Airmure,Airmure,Skarmory,Panzaeron,Skarmory,무장조,エアームド
Malosse,Malosse,Houndour,Hunduster,Houndour,델빌,デルビル
Démolosse,Démolosse,Houndoom,Hundemon,Houndoom,헬가,ヘルガー
Hyporoi,Hyporoi,Kingdra,Seedraking,Kingdra,킹드라,キングドラ
Phanpy,Phanpy,Phanpy,Phanpy,Phanpy,코코리,ゴマゾウ
Donphan,Donphan,Donphan,Donphan,Donphan,코리갑,ドンファン
Porygon2,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤2,ポリゴン２
Excrok,Excrok,Excrok,Damhirplex,Excrok,노라키,オドシシ
Queulorior,Queulorior,Smeargle,Farbeagle,Smeargle,루브도,ドーブル
OrKO,Orkao,Tyrogue,Rabauz,Tyrogue,배루키,バルキー
Royink,Ornybreak,Ornybreak,Kapoera,Ornybreak,카포에라,カポエラー
Lippouti,Lippouti,Smoochum,Kussilla,Smoochum,뽀뽀라,ムチュール
Élekid,Élekid,Elekid,Elekid,Elekid,에레키드,エレキッド
Magby,Magby,Magby,Magby,Magby,마그비,ブビィ
Écrémeuh,Écrémeuh,Miltank,Miltank,Miltank,밀탱크,ミルタンク
Leuphorie,Leuphorie,Blissey,Heiteira,Blissey,해피너스,ハピナス
Raikou,Raikou,Raikou,Raikou,Raikou,라이코,ライコウ
Etemanta,Etemanta,Etemanta,Etemanta,Etemanta,앤테이,エンテイ
Suicune,Suicune,Suicune,Suicune,Suicune,스이쿤,スイクン
Totama,Totama,Totama,Totama,Totama,애버라스,ヨーギラス
Egicrok,Egicroc,Egicroc,Egicroc,Egicroc,데기라스,サナギラス
Totesert,Totesert,Totesert,Despotar,Totesert,마기라스,バンギラス
Lugia,Lugia,Lugia,Lugia,Lugia,루기아,ルギア
Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,ホウオウ
Celebi,Celebi,Celebi,Celebi,Celebi,세레비,セレビィ
Arcko,Arcko,Treecko,Geckarbor,Treecko,나무지기,キモリ
Massko,Massko,Grovyle,Reptain,Grovyle,나무돌이,ジュプトル
Jungko,Jungko,Sceptile,Gewaldro,Sceptile,나무킹,ジュカイン
Poussifeu,Poussifeu,Torchic,Flemmli,Torchic,아차모,アチャモ
Galifeu,Galifeu,Combusken,Jungglut,Combusken,영치코,ワカシャモ
Braségali,Braségali,Blaziken,Lohgock,Blaziken,번치코,バシャーモ
Gobou,Gobou,Mudkip,Hydropi,Mudkip,물짱이,ミズゴロウ
Flobio,Flobio,Marshtomp,Moorabbel,Marshtomp,늪짱이,ヌマクロー
Laggron,Laggron,Swampert,Sumpex,Swampert,대짱이,ラグラージ
Panléon,Panléon,Panleon,Fiffyen,Panleon,포챠나,ポチエナ
Boufféleon,Bouffeleon,Bouffeleon,Magnayen,Bouffeleon,그라에나,グラエナ
Kanifien,Kanifien,Kanifien,Zigzachs,Kanifien,지그제구리,ジグザグマ
Siamwaff,Siamwaff,Siamwaff,Geradaks,Siamwaff,직구리,マッスグマ
Scarpin,Scarpin,Wurmple,Waumpel,Wurmple,개무소,ケムッソ
Evo Scarpin,Evo Scarpin,Silcoon,Schaloko,Silcoon,실쿤,カラサリス
Charmillon,Charmillon,Beautifly,Papinella,Beautifly,뷰티플라이,アゲハント
Blindalys,Blindalys,Cascoon,Panekon,Cascoon,카스쿤,マユルド
Papinox,Papinox,Dustox,Pudox,Dustox,독케일,ドクケイル
Nénupiot,Nénupiot,Lotad,Loturzel,Lotad,연꽃몬,ハスボー
Lombre,Lombre,Lombre,Lombrero,Lombre,로토스,ハスブレロ
Ludicolo,Ludicolo,Ludicolo,Kappalores,Ludicolo,로파파,ルンパッパ
Formin,Formin,Formin,Samurzel,Formin,도토링,タネボー
Silhom,Silhom,Silhom,Blanas,Silhom,잎새코,コノハナ
Gabarombr,Gabarombr,Gabarombr,Tengulist,Gabarombr,다탱구,ダーテング
Kookharism,Kookharism,Kookharism,Schwalbini,Kookharism,테일로,スバメ
Kookabourrin,Kookabourrin,Kookabourrin,Schwalboss,Kookabourrin,스왈로,オオスバメ
Goélise,Goélise,Wingull,Wingull,Wingull,갈모매,キャモメ
Bekipan,Bekipan,Pelipper,Pelipper,Pelipper,패리퍼,ペリッパー
Tarsal,Tarsal,Ralts,Trasla,Ralts,랄토스,ラルトス
Kirlia,Kirlia,Kirlia,Kirlia,Kirlia,킬리아,キルリア
Gardevoir,Gardevoir,Gardevoir,Guardevoir,Gardevoir,가디안,サーナイト
Insy,Insy,Insy,Gehweiher,Insy,비구술,アメタマ
Milzen,Milzen,Milzen,Maskeregen,Milzen,비나방,アメモース
Scarpin,Scarpin,Scarpin,Knilz,Scarpin,버섯꼬,キノココ
Labouro,Labouro,Labouro,Kapilz,Labouro,버섯모,キノガッサ
Parecool,Parecool,Slakoth,Bummelz,Slakoth,게을로,ナマケロ
Vigoroth,Vigoroth,Vigoroth,Muntier,Vigoroth,발바로,ヤルキモノ
Monaflèmit,Monaflèmit,Slaking,Letarking,Slaking,게을킹,ケッキング
Ningale,Ningale,Nincada,Nincada,Nincada,토중몬,ツチニン
Ninjask,Ninjask,Ninjask,Ninjask,Ninjask,아이스크,テッカニン
Munja,Munja,Shedinja,Ninjatom,Shedinja,껍질몬,ヌケニン
Chuchmur,Chuchmur,Whismur,Flurmel,Whismur,소곤룡,ゴニョニョ
Ramboum,Ramboum,Loudred,Krakeelo,Loudred,노공룡,ドゴーム
Brouhabam,Brouhabam,Exploud,Krawumms,Exploud,폭음룡,バクオング
Justelek,Justelek,Makuhita,Makuhita,Makuhita,마크탕,マクノシタ
Herhô,Herhô,Hariyama,Hariyama,Hariyama,하리뭉,ハリテヤマ
Azurill,Azurill,Azurill,Azurill,Azurill,루리리,ルリリ
Hermimite,Hermimite,Hermimite,Nasgnet,Hermimite,코코파스,ノズパス
Skitty,Skitty,Skitty,Eneco,Skitty,에나비,エネコ
Delcatty,Delcatty,Delcatty,Enekoro,Delcatty,델케티,エネコロロ
Ténéfix,Ténéfix,Sableye,Zobiris,Sableye,깜까미,ヤミラミ
Mysdibule,Mysdibule,Mawile,Flunkifer,Mawile,입치트,クチート
Galekid,Galekid,Aron,Stollunior,Aron,가보리,ココドラ
Galegon,Galegon,Lairon,Stollrak,Lairon,갱도라,コドラ
Galeking,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ
Méditikka,Méditikka,Meditite,Meditie,Meditite,요가랑,アサナン
Charmina,Charmina,Medicham,Meditalis,Medicham,요가램,チャーレム
Feuillon,Feuillon,Feuillon,Frizelbliz,Feuillon,썬더라이,ラクライ
Avatarmi,Avatarmi,Manectric,Voltenso,Manectric,썬더볼트,ライボルト
Posipi,Posipi,Plusle,Plusle,Plusle,플러시,プラスル
Négapi,Négapi,Minun,Minun,Minun,마이농,マイナン
Muciole,Muciole,Volbeat,Volbeat,Volbeat,볼비트,バルビート
Lumivole,Lumivole,Illumise,Illumise,Illumise,네오비트,イルミーゼ
Rosélia,Rosélia,Roselia,Roselia,Roselia,로젤리아,ロゼリア
Gloupti,Gloupti,Gulpin,Schluppuck,Gulpin,꼴깍몬,ゴクリン
Avaltout,Avaltout,Swalot,Schlukwech,Swalot,꿀꺽몬,マルノーム
Carvanha,Carvanha,Carvanha,Kanivanha,Carvanha,샤프니아,キバニア
Sharpedo,Sharpedo,Sharpedo,Tohaido,Sharpedo,샤크니아,サメハダー
Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,고래왕자,ホエルコ
Wailord,Wailord,Wailord,Wailord,Wailord,고래왕,ホエルオー
Chamallot,Chamallot,Numel,Camaub,Numel,둔타,ドンメル
Camérupt,Camérupt,Camerupt,Camerupt,Camerupt,폭타,バクーダ
Chartor,Orko,Orko,Qurtel,Orko,코터스,コータス
Spoink,Spoink,Spoink,Spoink,Spoink,피그점프,バネブー
Groret,Groret,Grumpig,Groink,Grumpig,피그킹,ブーピッグ
Spinda,Spinda,Spinda,Pandir,Spinda,얼루기,パッチール
Scorgon,Scorgon,Scorgon,Knacklion,Scorgon,톱치,ナックラー
Dracorpion,Dracorpion,Dracorpion,Dracorpion,Dracorpion,비브라바,ビブラーバ
Libégon,Libégon,Flygon,Libelldra,Flygon,플라이곤,フライゴン
Solépine,Solepine,Solepine,Tuska,Solepine,선인왕,サボネア
Gorictus,Gorictus,Gorictus,Noktuska,Gorictus,밤선인,ノクタス
Tylton,Tylton,Swablu,Wablu,Swablu,파비코,チルット
Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス
Mangriff,Mangriff,Zangoose,Sengo,Zangoose,쟝고,ザングース
Séviper,Séviper,Seviper,Vipitis,Seviper,세비퍼,ハブネーク
Séléroc,Séléroc,Lunatone,Lunastein,Lunatone,루나톤,ルナトーン
Solaroc,Solaroc,Solrock,Sonnfel,Solrock,솔록,ソルロック
Barloche,Barloche,Barboach,Schmerbe,Barboach,미꾸리,ドジョッチ
Barbicha,Barbicha,Whiscash,Welsar,Whiscash,메깅,ナマズン
Écrapince,Écrapince,Corphish,Krebscorps,Corphish,가재군,ヘイガニ
Colhomard,Colhomard,Crawdaunt,Krebutack,Crawdaunt,가재장군,シザリガー
Balbuto,Balbuto,Baltoy,Puppance,Baltoy,오뚝군,ヤジロン
Kaorine,Kaorine,Claydol,Lepumentas,Claydol,점토도리,ネンドール
Lilia,Lilia,Lileep,Liliep,Lileep,릴링,リリーラ
